TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.021;0.042;0.063;0.084;0.107;0.13;0.149;0.167;0.179;0.191;0.194;0.198;0.201;0.204;0.206;0.207;0.209;0.211;0.209;0.211;0.21;0.21;0.212;0.214;0.215;0.217;0.217;0.217;0.214;0.21;0.21;0.209;0.208;0.208;0.207;0.207;0.206;0.205;0.205;0.204;0.204;0.203;0.202;0.202;0.201;0.2;0.2;0.199;0.198;0.198;0.196;0.194;0.192;0.191;0.189;0.187;0.185;0.184;0.182;0.18;0.178;0.177;0.175;0.173;0.171;0.17;0.168;0.166;0.164;0.162
2;0;0.042;0.084;0.125;0.167;0.214;0.261;0.298;0.334;0.358;0.381;0.388;0.395;0.402;0.408;0.411;0.415;0.418;0.421;0.418;0.421;0.421;0.42;0.424;0.427;0.431;0.435;0.435;0.435;0.428;0.421;0.419;0.418;0.417;0.416;0.415;0.413;0.412;0.411;0.41;0.409;0.407;0.406;0.405;0.403;0.402;0.401;0.399;0.398;0.397;0.395;0.392;0.388;0.385;0.381;0.378;0.374;0.371;0.367;0.364;0.36;0.357;0.353;0.35;0.346;0.343;0.339;0.336;0.332;0.328;0.325
3;0;0.063;0.125;0.188;0.251;0.321;0.391;0.446;0.501;0.537;0.572;0.582;0.593;0.602;0.612;0.617;0.622;0.627;0.632;0.627;0.632;0.631;0.63;0.635;0.641;0.646;0.652;0.652;0.652;0.641;0.631;0.629;0.627;0.625;0.624;0.622;0.62;0.618;0.616;0.615;0.613;0.611;0.609;0.607;0.605;0.603;0.601;0.599;0.597;0.595;0.593;0.588;0.582;0.577;0.572;0.566;0.561;0.556;0.551;0.545;0.54;0.535;0.53;0.524;0.519;0.514;0.509;0.503;0.498;0.493;0.487
4;0;0.084;0.167;0.251;0.334;0.428;0.522;0.595;0.669;0.715;0.762;0.776;0.79;0.803;0.816;0.822;0.829;0.836;0.843;0.837;0.843;0.841;0.84;0.847;0.855;0.862;0.869;0.869;0.869;0.855;0.841;0.839;0.836;0.834;0.832;0.829;0.827;0.824;0.822;0.82;0.817;0.814;0.812;0.809;0.806;0.804;0.801;0.798;0.796;0.793;0.79;0.783;0.776;0.769;0.762;0.755;0.748;0.741;0.734;0.727;0.72;0.713;0.706;0.699;0.692;0.685;0.678;0.671;0.664;0.657;0.65
5;0;0.104;0.209;0.313;0.418;0.535;0.652;0.744;0.836;0.894;0.953;0.97;0.988;1.004;1.02;1.028;1.036;1.045;1.053;1.046;1.053;1.051;1.05;1.059;1.068;1.077;1.087;1.087;1.087;1.069;1.051;1.048;1.045;1.042;1.039;1.036;1.033;1.03;1.027;1.024;1.021;1.018;1.015;1.011;1.008;1.005;1.001;0.998;0.995;0.991;0.988;0.979;0.97;0.962;0.953;0.944;0.935;0.927;0.918;0.909;0.9;0.891;0.883;0.874;0.865;0.856;0.848;0.839;0.83;0.821;0.812
6;0;0.125;0.251;0.376;0.501;0.642;0.782;0.893;1.003;1.073;1.143;1.164;1.186;1.205;1.224;1.234;1.244;1.254;1.264;1.255;1.264;1.262;1.26;1.271;1.282;1.293;1.304;1.304;1.304;1.283;1.262;1.258;1.255;1.251;1.247;1.244;1.24;1.236;1.233;1.229;1.226;1.222;1.218;1.214;1.21;1.206;1.202;1.198;1.194;1.19;1.186;1.175;1.164;1.154;1.143;1.133;1.122;1.112;1.101;1.091;1.08;1.07;1.059;1.049;1.038;1.028;1.017;1.007;0.996;0.985;0.975
7;0;0.146;0.293;0.439;0.585;0.749;0.913;1.041;1.17;1.252;1.334;1.359;1.383;1.405;1.428;1.439;1.451;1.463;1.474;1.464;1.474;1.472;1.47;1.483;1.495;1.508;1.521;1.521;1.521;1.497;1.472;1.468;1.464;1.459;1.455;1.451;1.447;1.443;1.438;1.434;1.43;1.425;1.421;1.416;1.411;1.407;1.402;1.397;1.392;1.388;1.383;1.371;1.359;1.346;1.334;1.322;1.309;1.297;1.285;1.273;1.26;1.248;1.236;1.223;1.211;1.199;1.187;1.174;1.162;1.15;1.137
8;0;0.167;0.334;0.501;0.669;0.856;1.043;1.19;1.337;1.431;1.525;1.553;1.581;1.606;1.632;1.645;1.658;1.672;1.685;1.673;1.685;1.682;1.68;1.694;1.709;1.724;1.739;1.739;1.739;1.71;1.682;1.678;1.673;1.668;1.663;1.658;1.653;1.649;1.644;1.639;1.634;1.629;1.624;1.618;1.613;1.607;1.602;1.597;1.591;1.586;1.581;1.567;1.553;1.539;1.525;1.511;1.496;1.482;1.468;1.454;1.44;1.426;1.412;1.398;1.384;1.37;1.356;1.342;1.328;1.314;1.3
9;0;0.188;0.376;0.564;0.752;0.963;1.174;1.339;1.504;1.61;1.715;1.747;1.778;1.807;1.835;1.851;1.866;1.881;1.896;1.882;1.896;1.893;1.89;1.906;1.923;1.939;1.956;1.956;1.956;1.924;1.893;1.887;1.882;1.876;1.871;1.866;1.86;1.855;1.849;1.844;1.838;1.832;1.826;1.82;1.814;1.808;1.802;1.796;1.79;1.784;1.778;1.763;1.747;1.731;1.715;1.699;1.684;1.668;1.652;1.636;1.62;1.605;1.589;1.573;1.557;1.541;1.526;1.51;1.494;1.478;1.462
10;0;0.209;0.418;0.627;0.836;1.07;1.304;1.488;1.672;1.789;1.906;1.941;1.976;2.008;2.039;2.056;2.073;2.09;2.106;2.091;2.106;2.103;2.1;2.118;2.136;2.155;2.173;2.173;2.173;2.138;2.103;2.097;2.091;2.085;2.079;2.073;2.067;2.061;2.055;2.049;2.043;2.036;2.029;2.023;2.016;2.009;2.003;1.996;1.989;1.983;1.976;1.958;1.941;1.923;1.906;1.888;1.871;1.853;1.835;1.818;1.8;1.783;1.765;1.748;1.73;1.713;1.695;1.678;1.66;1.642;1.625
11;0;0.23;0.46;0.69;0.919;1.177;1.434;1.637;1.839;1.968;2.096;2.135;2.174;2.208;2.243;2.262;2.28;2.299;2.317;2.3;2.317;2.313;2.31;2.33;2.35;2.37;2.39;2.39;2.39;2.352;2.313;2.307;2.3;2.293;2.287;2.28;2.274;2.267;2.26;2.254;2.247;2.24;2.232;2.225;2.218;2.21;2.203;2.196;2.188;2.181;2.174;2.154;2.135;2.116;2.096;2.077;2.058;2.038;2.019;2;1.98;1.961;1.942;1.923;1.903;1.884;1.865;1.845;1.826;1.807;1.787
12;0;0.251;0.501;0.752;1.003;1.284;1.565;1.785;2.006;2.146;2.287;2.329;2.371;2.409;2.447;2.467;2.487;2.508;2.528;2.51;2.528;2.524;2.52;2.542;2.564;2.586;2.608;2.608;2.608;2.566;2.524;2.516;2.509;2.502;2.495;2.487;2.48;2.473;2.466;2.459;2.451;2.443;2.435;2.427;2.419;2.411;2.403;2.395;2.387;2.379;2.371;2.35;2.329;2.308;2.287;2.266;2.245;2.224;2.203;2.182;2.16;2.139;2.118;2.097;2.076;2.055;2.034;2.013;1.992;1.971;1.95
13;0;0.272;0.543;0.815;1.087;1.391;1.695;1.934;2.173;2.325;2.477;2.523;2.569;2.61;2.651;2.673;2.695;2.716;2.738;2.719;2.738;2.734;2.729;2.753;2.777;2.801;2.825;2.825;2.825;2.779;2.734;2.726;2.718;2.71;2.703;2.695;2.687;2.679;2.671;2.663;2.656;2.647;2.638;2.63;2.621;2.612;2.603;2.595;2.586;2.577;2.569;2.546;2.523;2.5;2.477;2.455;2.432;2.409;2.386;2.363;2.341;2.318;2.295;2.272;2.249;2.226;2.204;2.181;2.158;2.135;2.112
14;0;0.293;0.585;0.878;1.17;1.498;1.825;2.083;2.34;2.504;2.668;2.717;2.766;2.811;2.855;2.879;2.902;2.925;2.949;2.928;2.949;2.944;2.939;2.965;2.991;3.017;3.042;3.042;3.042;2.993;2.944;2.936;2.927;2.919;2.91;2.902;2.894;2.885;2.877;2.868;2.86;2.851;2.841;2.832;2.822;2.813;2.804;2.794;2.785;2.776;2.766;2.742;2.717;2.693;2.668;2.643;2.619;2.594;2.57;2.545;2.521;2.496;2.471;2.447;2.422;2.398;2.373;2.349;2.324;2.299;2.275
15;0;0.313;0.627;0.94;1.254;1.605;1.956;2.232;2.508;2.683;2.859;2.911;2.964;3.012;3.059;3.084;3.109;3.134;3.159;3.137;3.159;3.154;3.149;3.177;3.205;3.232;3.26;3.26;3.26;3.207;3.154;3.145;3.136;3.127;3.118;3.109;3.1;3.091;3.082;3.073;3.064;3.054;3.044;3.034;3.024;3.014;3.004;2.994;2.984;2.974;2.964;2.938;2.911;2.885;2.859;2.832;2.806;2.78;2.753;2.727;2.701;2.674;2.648;2.622;2.595;2.569;2.543;2.516;2.49;2.464;2.437
16;0;0.334;0.669;1.003;1.337;1.712;2.086;2.38;2.675;2.862;3.049;3.105;3.161;3.212;3.263;3.29;3.317;3.343;3.37;3.346;3.37;3.365;3.359;3.389;3.418;3.448;3.477;3.477;3.477;3.421;3.365;3.355;3.345;3.336;3.326;3.317;3.307;3.297;3.288;3.278;3.268;3.258;3.247;3.236;3.226;3.215;3.204;3.194;3.183;3.172;3.161;3.133;3.105;3.077;3.049;3.021;2.993;2.965;2.937;2.909;2.881;2.853;2.824;2.796;2.768;2.74;2.712;2.684;2.656;2.628;2.6
17;0;0.355;0.71;1.066;1.421;1.819;2.217;2.529;2.842;3.041;3.24;3.299;3.359;3.413;3.467;3.495;3.524;3.552;3.581;3.555;3.581;3.575;3.569;3.601;3.632;3.663;3.694;3.694;3.694;3.635;3.575;3.565;3.555;3.544;3.534;3.524;3.514;3.503;3.493;3.483;3.473;3.461;3.45;3.439;3.427;3.416;3.405;3.393;3.382;3.37;3.359;3.329;3.299;3.27;3.24;3.21;3.18;3.15;3.12;3.09;3.061;3.031;3.001;2.971;2.941;2.911;2.882;2.852;2.822;2.792;2.762
18;0;0.376;0.752;1.128;1.504;1.926;2.347;2.678;3.009;3.22;3.43;3.493;3.557;3.614;3.671;3.701;3.731;3.761;3.791;3.764;3.791;3.785;3.779;3.812;3.846;3.879;3.912;3.912;3.912;3.849;3.785;3.774;3.764;3.753;3.742;3.731;3.72;3.709;3.699;3.688;3.677;3.665;3.653;3.641;3.629;3.617;3.605;3.593;3.581;3.569;3.557;3.525;3.493;3.462;3.43;3.399;3.367;3.335;3.304;3.272;3.241;3.209;3.178;3.146;3.114;3.083;3.051;3.02;2.988;2.956;2.925
