TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.006;0.012;0.018;0.024;0.03;0.037;0.111;0.186;0.151;0.116;0.193;0.27;0.319;0.367;0.38;0.393;0.378;0.365;0.356;0.353;0.342;0.33;0.318;0.306;0.294;0.282;0.27;0.259;0.247;0.235;0.223;0.211;0.199;0.187;0.175;0.164;0.152;0.14;0.128;0.116;0.109;0.102;0.094;0.087;0.08;0.073;0.065;0.058;0.051;0.044;0.042;0.04;0.037;0.035;0.033;0.031;0.029;0.027;0.025;0.023;0.021;0.019;0.017;0.015;0.013;0.01;0.008;0.006;0.004;0.002
2;0;0.012;0.024;0.037;0.049;0.061;0.073;0.223;0.372;0.303;0.233;0.387;0.54;0.637;0.735;0.76;0.786;0.756;0.729;0.712;0.707;0.683;0.659;0.636;0.612;0.588;0.565;0.541;0.517;0.493;0.47;0.446;0.422;0.398;0.375;0.351;0.327;0.304;0.28;0.256;0.232;0.218;0.203;0.189;0.174;0.16;0.145;0.131;0.116;0.102;0.087;0.083;0.079;0.075;0.071;0.067;0.062;0.058;0.054;0.05;0.046;0.042;0.038;0.033;0.029;0.025;0.021;0.017;0.013;0.009;0.004
3;0;0.018;0.037;0.055;0.073;0.091;0.11;0.334;0.559;0.454;0.349;0.58;0.81;0.956;1.102;1.141;1.179;1.134;1.094;1.069;1.06;1.025;0.989;0.954;0.918;0.882;0.847;0.811;0.776;0.74;0.704;0.669;0.633;0.598;0.562;0.526;0.491;0.455;0.42;0.384;0.349;0.327;0.305;0.283;0.262;0.24;0.218;0.196;0.175;0.153;0.131;0.125;0.119;0.112;0.106;0.1;0.094;0.087;0.081;0.075;0.069;0.063;0.056;0.05;0.044;0.038;0.031;0.025;0.019;0.013;0.007
4;0;0.024;0.049;0.073;0.097;0.122;0.146;0.445;0.745;0.605;0.466;0.773;1.08;1.275;1.469;1.521;1.572;1.512;1.458;1.425;1.414;1.366;1.319;1.271;1.224;1.176;1.129;1.082;1.034;0.987;0.939;0.892;0.844;0.797;0.749;0.702;0.654;0.607;0.56;0.512;0.465;0.436;0.407;0.378;0.349;0.32;0.291;0.262;0.233;0.204;0.175;0.166;0.158;0.15;0.142;0.133;0.125;0.117;0.108;0.1;0.092;0.083;0.075;0.067;0.059;0.05;0.042;0.034;0.025;0.017;0.009
5;0;0.03;0.061;0.091;0.122;0.152;0.183;0.557;0.931;0.757;0.582;0.966;1.351;1.594;1.837;1.901;1.965;1.89;1.823;1.781;1.767;1.708;1.649;1.589;1.53;1.471;1.411;1.352;1.293;1.233;1.174;1.115;1.055;0.996;0.937;0.877;0.818;0.759;0.699;0.64;0.581;0.545;0.508;0.472;0.436;0.4;0.363;0.327;0.291;0.255;0.218;0.208;0.198;0.187;0.177;0.167;0.156;0.146;0.135;0.125;0.115;0.104;0.094;0.084;0.073;0.063;0.052;0.042;0.032;0.021;0.011
6;0;0.037;0.073;0.11;0.146;0.183;0.219;0.668;1.117;0.908;0.699;1.16;1.621;1.912;2.204;2.281;2.359;2.268;2.188;2.137;2.121;2.049;1.978;1.907;1.836;1.765;1.694;1.622;1.551;1.48;1.409;1.338;1.266;1.195;1.124;1.053;0.982;0.911;0.839;0.768;0.697;0.654;0.61;0.567;0.523;0.48;0.436;0.393;0.349;0.306;0.262;0.25;0.237;0.225;0.212;0.2;0.187;0.175;0.163;0.15;0.138;0.125;0.113;0.1;0.088;0.075;0.063;0.05;0.038;0.026;0.013
7;0;0.043;0.085;0.128;0.171;0.213;0.256;0.78;1.303;1.059;0.815;1.353;1.891;2.231;2.572;2.662;2.752;2.646;2.552;2.494;2.474;2.391;2.308;2.225;2.142;2.059;1.976;1.893;1.81;1.727;1.644;1.561;1.478;1.395;1.311;1.228;1.145;1.062;0.979;0.896;0.813;0.762;0.712;0.661;0.61;0.56;0.509;0.458;0.407;0.357;0.306;0.291;0.277;0.262;0.248;0.233;0.219;0.204;0.19;0.175;0.161;0.146;0.131;0.117;0.102;0.088;0.073;0.059;0.044;0.03;0.015
8;0;0.049;0.097;0.146;0.195;0.244;0.292;0.891;1.489;1.211;0.932;1.546;2.161;2.55;2.939;3.042;3.145;3.024;2.917;2.85;2.828;2.733;2.638;2.543;2.448;2.353;2.258;2.163;2.068;1.973;1.878;1.784;1.689;1.594;1.499;1.404;1.309;1.214;1.119;1.024;0.929;0.871;0.813;0.755;0.697;0.639;0.581;0.523;0.465;0.408;0.35;0.333;0.316;0.3;0.283;0.267;0.25;0.233;0.217;0.2;0.183;0.167;0.15;0.134;0.117;0.1;0.084;0.067;0.051;0.034;0.017
9;0;0.055;0.11;0.164;0.219;0.274;0.329;1.002;1.676;1.362;1.048;1.74;2.431;2.869;3.306;3.422;3.538;3.402;3.281;3.206;3.181;3.074;2.967;2.861;2.754;2.647;2.54;2.434;2.327;2.22;2.113;2.006;1.9;1.793;1.686;1.579;1.473;1.366;1.259;1.152;1.046;0.98;0.915;0.85;0.785;0.719;0.654;0.589;0.524;0.458;0.393;0.375;0.356;0.337;0.318;0.3;0.281;0.262;0.244;0.225;0.206;0.188;0.169;0.15;0.132;0.113;0.094;0.076;0.057;0.038;0.02
