TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0.046;0.091;0.134;0.178;0.213;0.249;0.273;0.298;0.3;0.302;0.319;0.336;0.343;0.35;0.353;0.355;0.358;0.36;0.359;0.364;0.366;0.369;0.371;0.373;0.376;0.378;0.378;0.378;0.38;0.383;0.383;0.383;0.383;0.383;0.383;0.381;0.38;0.378;0.377;0.375;0.374;0.373;0.371;0.37;0.369;0.367;0.366;0.364;0.363;0.362;0.357;0.353;0.348;0.343;0.339;0.334;0.329;0.325;0.32;0.316;0.312;0.308;0.304;0.3;0.297;0.293;0.289;0.285;0.282;0.278
2;0;0.091;0.183;0.269;0.355;0.427;0.499;0.547;0.595;0.6;0.604;0.638;0.671;0.686;0.7;0.705;0.711;0.715;0.72;0.719;0.728;0.733;0.738;0.742;0.747;0.752;0.756;0.756;0.756;0.761;0.766;0.766;0.766;0.766;0.766;0.766;0.763;0.76;0.757;0.754;0.751;0.748;0.745;0.743;0.74;0.737;0.734;0.732;0.729;0.726;0.723;0.714;0.705;0.696;0.687;0.677;0.668;0.659;0.65;0.64;0.631;0.624;0.616;0.609;0.601;0.593;0.586;0.578;0.571;0.563;0.556
3;0;0.137;0.274;0.403;0.533;0.64;0.748;0.82;0.893;0.9;0.907;0.957;1.007;1.029;1.05;1.058;1.066;1.073;1.08;1.078;1.092;1.099;1.106;1.113;1.12;1.127;1.134;1.134;1.134;1.141;1.148;1.148;1.148;1.148;1.148;1.148;1.144;1.14;1.135;1.131;1.126;1.122;1.118;1.114;1.11;1.106;1.102;1.098;1.093;1.089;1.085;1.071;1.058;1.044;1.03;1.016;1.002;0.988;0.975;0.961;0.947;0.935;0.924;0.913;0.901;0.89;0.879;0.867;0.856;0.845;0.833
4;0;0.183;0.365;0.538;0.71;0.854;0.998;1.094;1.19;1.2;1.209;1.276;1.343;1.371;1.4;1.411;1.422;1.431;1.44;1.438;1.456;1.466;1.475;1.484;1.494;1.503;1.513;1.513;1.513;1.522;1.531;1.531;1.531;1.531;1.531;1.531;1.525;1.519;1.514;1.508;1.502;1.496;1.491;1.485;1.48;1.474;1.469;1.463;1.458;1.452;1.447;1.429;1.41;1.392;1.373;1.355;1.336;1.318;1.299;1.281;1.262;1.247;1.232;1.217;1.202;1.187;1.172;1.157;1.142;1.126;1.111
5;0;0.228;0.456;0.672;0.888;1.067;1.247;1.367;1.488;1.499;1.511;1.595;1.678;1.714;1.75;1.764;1.777;1.789;1.8;1.797;1.82;1.832;1.844;1.856;1.867;1.879;1.891;1.891;1.891;1.902;1.914;1.914;1.914;1.914;1.914;1.914;1.907;1.899;1.892;1.885;1.877;1.87;1.864;1.857;1.85;1.843;1.836;1.829;1.822;1.816;1.809;1.786;1.763;1.74;1.716;1.693;1.67;1.647;1.624;1.601;1.578;1.559;1.54;1.521;1.502;1.484;1.465;1.446;1.427;1.408;1.389
6;0;0.274;0.548;0.806;1.065;1.281;1.496;1.641;1.785;1.799;1.813;1.914;2.014;2.057;2.1;2.116;2.132;2.146;2.16;2.156;2.185;2.199;2.213;2.227;2.241;2.255;2.269;2.269;2.269;2.283;2.297;2.297;2.297;2.297;2.297;2.297;2.288;2.279;2.27;2.262;2.253;2.245;2.236;2.228;2.22;2.212;2.203;2.195;2.187;2.179;2.17;2.143;2.115;2.087;2.06;2.032;2.004;1.977;1.949;1.921;1.894;1.871;1.848;1.826;1.803;1.78;1.758;1.735;1.712;1.69;1.667
7;0;0.319;0.639;0.941;1.243;1.494;1.746;1.914;2.083;2.099;2.116;2.233;2.35;2.4;2.45;2.469;2.488;2.504;2.521;2.516;2.549;2.565;2.581;2.598;2.614;2.631;2.647;2.647;2.647;2.663;2.68;2.68;2.68;2.68;2.68;2.68;2.669;2.659;2.649;2.638;2.628;2.619;2.609;2.599;2.59;2.58;2.571;2.561;2.551;2.542;2.532;2.5;2.468;2.435;2.403;2.371;2.338;2.306;2.274;2.242;2.209;2.183;2.156;2.13;2.103;2.077;2.051;2.024;1.998;1.971;1.945
8;0;0.365;0.73;1.075;1.42;1.708;1.995;2.188;2.38;2.399;2.418;2.552;2.685;2.743;2.8;2.822;2.843;2.862;2.881;2.875;2.913;2.931;2.95;2.969;2.988;3.006;3.025;3.025;3.025;3.044;3.062;3.062;3.062;3.062;3.062;3.062;3.051;3.039;3.027;3.015;3.004;2.993;2.982;2.971;2.96;2.949;2.938;2.927;2.916;2.905;2.894;2.857;2.82;2.783;2.746;2.709;2.673;2.636;2.599;2.562;2.525;2.495;2.464;2.434;2.404;2.374;2.344;2.313;2.283;2.253;2.223
9;0;0.411;0.821;1.21;1.598;1.921;2.245;2.461;2.678;2.699;2.72;2.871;3.021;3.086;3.15;3.174;3.199;3.22;3.241;3.235;3.277;3.298;3.319;3.34;3.361;3.382;3.403;3.403;3.403;3.424;3.445;3.445;3.445;3.445;3.445;3.445;3.432;3.419;3.406;3.392;3.379;3.367;3.354;3.342;3.33;3.317;3.305;3.293;3.28;3.268;3.256;3.214;3.173;3.131;3.09;3.048;3.007;2.965;2.924;2.882;2.84;2.806;2.772;2.738;2.704;2.67;2.636;2.602;2.568;2.534;2.5
10;0;0.456;0.913;1.344;1.775;2.135;2.494;2.735;2.976;2.999;3.022;3.19;3.357;3.429;3.5;3.527;3.554;3.577;3.601;3.594;3.641;3.664;3.688;3.711;3.735;3.758;3.781;3.781;3.781;3.805;3.828;3.828;3.828;3.828;3.828;3.828;3.813;3.799;3.784;3.769;3.755;3.741;3.727;3.713;3.7;3.686;3.672;3.659;3.645;3.631;3.617;3.571;3.525;3.479;3.433;3.387;3.341;3.295;3.248;3.202;3.156;3.118;3.081;3.043;3.005;2.967;2.929;2.892;2.854;2.816;2.778
11;0;0.502;1.004;1.478;1.953;2.348;2.744;3.008;3.273;3.299;3.325;3.508;3.692;3.771;3.851;3.88;3.909;3.935;3.961;3.953;4.005;4.031;4.056;4.082;4.108;4.134;4.159;4.159;4.159;4.185;4.211;4.211;4.211;4.211;4.211;4.211;4.195;4.179;4.162;4.146;4.13;4.115;4.1;4.085;4.07;4.055;4.04;4.024;4.009;3.994;3.979;3.928;3.878;3.827;3.776;3.725;3.675;3.624;3.573;3.522;3.472;3.43;3.389;3.347;3.305;3.264;3.222;3.181;3.139;3.098;3.056
12;0;0.548;1.095;1.613;2.13;2.562;2.993;3.282;3.571;3.599;3.627;3.827;4.028;4.114;4.201;4.233;4.265;4.293;4.321;4.313;4.369;4.397;4.425;4.453;4.481;4.509;4.538;4.538;4.538;4.566;4.594;4.594;4.594;4.594;4.594;4.594;4.576;4.558;4.541;4.523;4.505;4.489;4.473;4.456;4.44;4.423;4.407;4.39;4.374;4.357;4.341;4.286;4.23;4.175;4.12;4.064;4.009;3.953;3.898;3.843;3.787;3.742;3.697;3.651;3.606;3.561;3.515;3.47;3.425;3.379;3.334
13;0;0.593;1.187;1.747;2.308;2.775;3.242;3.555;3.868;3.899;3.929;4.146;4.364;4.457;4.551;4.585;4.62;4.651;4.681;4.672;4.733;4.764;4.794;4.824;4.855;4.885;4.916;4.916;4.916;4.946;4.977;4.977;4.977;4.977;4.977;4.977;4.957;4.938;4.919;4.9;4.881;4.863;4.845;4.827;4.81;4.792;4.774;4.756;4.738;4.721;4.703;4.643;4.583;4.523;4.463;4.403;4.343;4.283;4.223;4.163;4.103;4.054;4.005;3.956;3.906;3.857;3.808;3.759;3.71;3.661;3.612
14;0;0.639;1.278;1.882;2.485;2.989;3.492;3.829;4.166;4.199;4.231;4.465;4.699;4.8;4.901;4.938;4.976;5.008;5.041;5.032;5.097;5.13;5.163;5.196;5.228;5.261;5.294;5.294;5.294;5.327;5.359;5.359;5.359;5.359;5.359;5.359;5.339;5.318;5.298;5.277;5.256;5.237;5.218;5.199;5.18;5.16;5.141;5.122;5.103;5.084;5.064;5;4.935;4.871;4.806;4.742;4.677;4.612;4.548;4.483;4.419;4.366;4.313;4.26;4.207;4.154;4.101;4.048;3.995;3.943;3.89
15;0;0.685;1.369;2.016;2.663;3.202;3.741;4.102;4.463;4.498;4.534;4.784;5.035;5.143;5.251;5.291;5.331;5.366;5.401;5.391;5.461;5.496;5.532;5.567;5.602;5.637;5.672;5.672;5.672;5.707;5.742;5.742;5.742;5.742;5.742;5.742;5.72;5.698;5.676;5.654;5.632;5.611;5.591;5.57;5.55;5.529;5.508;5.488;5.467;5.447;5.426;5.357;5.288;5.219;5.149;5.08;5.011;4.942;4.873;4.803;4.734;4.677;4.621;4.564;4.507;4.451;4.394;4.337;4.281;4.224;4.167
16;0;0.73;1.46;2.15;2.84;3.416;3.991;4.376;4.761;4.798;4.836;5.103;5.371;5.486;5.601;5.644;5.686;5.724;5.761;5.751;5.825;5.863;5.9;5.938;5.975;6.013;6.05;6.05;6.05;6.088;6.125;6.125;6.125;6.125;6.125;6.125;6.101;6.078;6.054;6.031;6.007;5.985;5.963;5.942;5.92;5.898;5.876;5.854;5.832;5.81;5.788;5.714;5.64;5.567;5.493;5.419;5.345;5.271;5.197;5.124;5.05;4.989;4.929;4.868;4.808;4.748;4.687;4.627;4.566;4.506;4.445
17;0;0.776;1.552;2.285;3.018;3.629;4.24;4.649;5.058;5.098;5.138;5.422;5.706;5.829;5.951;5.996;6.042;6.082;6.121;6.11;6.19;6.229;6.269;6.309;6.349;6.388;6.428;6.428;6.428;6.468;6.508;6.508;6.508;6.508;6.508;6.508;6.483;6.458;6.433;6.408;6.383;6.359;6.336;6.313;6.29;6.266;6.243;6.22;6.196;6.173;6.15;6.071;5.993;5.914;5.836;5.758;5.679;5.601;5.522;5.444;5.365;5.301;5.237;5.173;5.108;5.044;4.98;4.916;4.852;4.787;4.723
18;0;0.821;1.643;2.419;3.196;3.842;4.489;4.923;5.356;5.398;5.44;5.741;6.042;6.171;6.301;6.349;6.397;6.439;6.481;6.469;6.554;6.596;6.638;6.68;6.722;6.764;6.806;6.806;6.806;6.848;6.891;6.891;6.891;6.891;6.891;6.891;6.864;6.838;6.811;6.785;6.758;6.734;6.709;6.684;6.66;6.635;6.61;6.585;6.561;6.536;6.511;6.428;6.345;6.262;6.179;6.096;6.013;5.93;5.847;5.764;5.681;5.613;5.545;5.477;5.409;5.341;5.273;5.205;5.137;5.069;5.001
19;0;0.867;1.734;2.554;3.373;4.056;4.739;5.196;5.654;5.698;5.743;6.06;6.378;6.514;6.651;6.702;6.753;6.797;6.841;6.829;6.918;6.962;7.007;7.051;7.096;7.14;7.184;7.184;7.184;7.229;7.273;7.273;7.273;7.273;7.273;7.273;7.245;7.218;7.19;7.162;7.134;7.108;7.082;7.056;7.029;7.003;6.977;6.951;6.925;6.899;6.873;6.786;6.698;6.61;6.523;6.435;6.347;6.26;6.172;6.084;5.997;5.925;5.853;5.781;5.709;5.638;5.566;5.494;5.422;5.351;5.279
20;0;0.913;1.825;2.688;3.551;4.269;4.988;5.47;5.951;5.998;6.045;6.379;6.713;6.857;7.001;7.054;7.108;7.155;7.202;7.188;7.282;7.329;7.375;7.422;7.469;7.516;7.563;7.563;7.563;7.609;7.656;7.656;7.656;7.656;7.656;7.656;7.627;7.597;7.568;7.539;7.509;7.482;7.454;7.427;7.399;7.372;7.345;7.317;7.29;7.262;7.235;7.143;7.05;6.958;6.866;6.774;6.681;6.589;6.497;6.404;6.312;6.237;6.161;6.086;6.01;5.934;5.859;5.783;5.708;5.632;5.557
21;0;0.958;1.917;2.822;3.728;4.483;5.238;5.743;6.249;6.298;6.347;6.698;7.049;7.2;7.351;7.407;7.463;7.512;7.562;7.548;7.646;7.695;7.744;7.793;7.842;7.892;7.941;7.941;7.941;7.99;8.039;8.039;8.039;8.039;8.039;8.039;8.008;7.977;7.946;7.915;7.885;7.856;7.827;7.798;7.769;7.741;7.712;7.683;7.654;7.626;7.597;7.5;7.403;7.306;7.209;7.112;7.015;6.918;6.822;6.725;6.628;6.548;6.469;6.39;6.31;6.231;6.152;6.072;5.993;5.914;5.834
22;0;1.004;2.008;2.957;3.906;4.696;5.487;6.017;6.546;6.598;6.649;7.017;7.385;7.543;7.701;7.76;7.819;7.87;7.922;7.907;8.01;8.061;8.113;8.164;8.216;8.267;8.319;8.319;8.319;8.37;8.422;8.422;8.422;8.422;8.422;8.422;8.389;8.357;8.325;8.292;8.26;8.23;8.2;8.17;8.139;8.109;8.079;8.049;8.019;7.989;7.958;7.857;7.755;7.654;7.552;7.451;7.349;7.248;7.146;7.045;6.943;6.86;6.777;6.694;6.611;6.528;6.445;6.362;6.279;6.195;6.112
23;0;1.05;2.099;3.091;4.083;4.91;5.736;6.29;6.844;6.898;6.951;7.336;7.72;7.886;8.051;8.113;8.174;8.228;8.282;8.266;8.374;8.428;8.482;8.536;8.589;8.643;8.697;8.697;8.697;8.751;8.805;8.805;8.805;8.805;8.805;8.805;8.771;8.737;8.703;8.669;8.635;8.604;8.572;8.541;8.509;8.478;8.446;8.415;8.383;8.352;8.32;8.214;8.108;8.002;7.896;7.79;7.684;7.577;7.471;7.365;7.259;7.172;7.085;6.998;6.911;6.825;6.738;6.651;6.564;6.477;6.39
24;0;1.095;2.191;3.226;4.261;5.123;5.986;6.564;7.141;7.198;7.254;7.655;8.056;8.229;8.401;8.465;8.53;8.586;8.642;8.626;8.738;8.794;8.85;8.907;8.963;9.019;9.075;9.075;9.075;9.131;9.187;9.187;9.187;9.187;9.187;9.187;9.152;9.117;9.082;9.046;9.011;8.978;8.945;8.912;8.879;8.846;8.814;8.781;8.748;8.715;8.682;8.571;8.461;8.35;8.239;8.128;8.018;7.907;7.796;7.685;7.575;7.484;7.393;7.303;7.212;7.121;7.031;6.94;6.849;6.759;6.668
25;0;1.141;2.282;3.36;4.438;5.337;6.235;6.837;7.439;7.497;7.556;7.974;8.392;8.571;8.751;8.818;8.885;8.943;9.002;8.985;9.102;9.161;9.219;9.278;9.336;9.395;9.453;9.453;9.453;9.512;9.57;9.57;9.57;9.57;9.57;9.57;9.534;9.497;9.46;9.423;9.386;9.352;9.318;9.284;9.249;9.215;9.181;9.147;9.112;9.078;9.044;8.928;8.813;8.698;8.582;8.467;8.352;8.236;8.121;8.006;7.89;7.796;7.701;7.607;7.512;7.418;7.324;7.229;7.135;7.04;6.946
26;0;1.187;2.373;3.494;4.616;5.55;6.485;7.111;7.736;7.797;7.858;8.293;8.727;8.914;9.101;9.171;9.24;9.301;9.362;9.345;9.466;9.527;9.588;9.649;9.71;9.771;9.831;9.831;9.831;9.892;9.953;9.953;9.953;9.953;9.953;9.953;9.915;9.877;9.838;9.8;9.762;9.726;9.691;9.655;9.619;9.584;9.548;9.512;9.477;9.441;9.405;9.286;9.166;9.046;8.926;8.806;8.686;8.566;8.446;8.326;8.206;8.108;8.009;7.911;7.813;7.715;7.617;7.518;7.42;7.322;7.224
27;0;1.232;2.464;3.629;4.793;5.764;6.734;7.384;8.034;8.097;8.16;8.612;9.063;9.257;9.451;9.523;9.596;9.659;9.722;9.704;9.83;9.894;9.957;10.02;10.083;10.146;10.21;10.21;10.21;10.273;10.336;10.336;10.336;10.336;10.336;10.336;10.296;10.256;10.217;10.177;10.137;10.1;10.063;10.026;9.989;9.952;9.915;9.878;9.841;9.804;9.767;9.643;9.518;9.393;9.269;9.144;9.02;8.895;8.771;8.646;8.521;8.419;8.317;8.215;8.113;8.011;7.909;7.807;7.705;7.603;7.501
